Sex,Age,PIT_Num,Species,T_ID
F,,125248694A,Cp,368
M,,125252352A,Cp,369
M,,125256591A,Css,370
M,,125257350A,Eastern Box,371
M,,125321612A,Cp,372
F,,125322383A,Css,373
M,,125322661A,Cp,374
F,,125322661A,Cp,375
M,,125325255A,Cp,376
M,,125629395A,Cp,377
M,,125631250A,Cp,378
M,,125635663A,Cp,379
M,,125636323A,Cp,380
,,125636470A,Cp,381
M,,125644612A,Cp,382
M,,125656625A,Css,383
F,,125668217A,Cp,384
F,,125668697A,Css,385
F,,125671362A,Cp,386
F?,J,125673490A,Css,387
M,,125676643A,Cp,388
M,,125711634A,Cp,389
F,,125715551A,Cp,390
F,,125719557A,Cp,391
F,A,125719557A,Cp,392
M,,125726344A,Css,393
M,,125727540A,Cp,394
F,,125727586A,Cp,395
F,,125734713A,Cp,396
M,,125736792A,Cp,397
M,4,125736792A,Cp,398
M,approx 70. yrs.,125817180A,Css,399
M,,125821516A,Cp,400
M,W,125821516A,Cp,401
M,A,125821516A,Cp,402
M,,125822566A,Cp,403
M,A,125822566A,Cp,404
M,juvenile (<10 years),125836470A,Cp,405
M,,125836470A,Cp,406
M,,125848657A,Css,407
,25+,125848657A,Css,408
M,W,15137451A,Cp,409
F,8+,430E40113C,Cp,410
F,W,430E451A75,Cp,411
F,8,430E45291F,Cp,412
F,6+,430E45291F,Cp,413
F,9+,430E45291F,Cp,414
F,8+,430E45291F,Cp,415
F,8+,430E482201,Cp,416
F,6+,430E482201,Cp,417
M,W,430E4B1E53,Cp,418
F,W,430E4C020E,Cp,419
M,A,430E4E6516,Cp,420
M,,430E4E651E,Cp,421
M,6+,430E4E651E,Cp,422
M,4+,430E4E651E,Cp,423
M,5+,430E4E651E,Cp,424
M,W,430E4E651E,Cp,425
M,4,430E4E651E,Cp,426
M,5,430E4E651E,Cp,427
F,W,430E4F1F7C,Cp,428
F,,430E4F1F7C,Cp,429
M,W,430E4F1F7C,Cp,430
N/A,A,430E4F1F7C,Cp,431
F,,430E542418,Cp,432
F,W,430E542418,Cp,433
F,10+,430E584B72,Cp,434
F,8+,430E584B72,Cp,435
F,6+,430E584B72,Cp,436
F,A,430E584B72,Cp,437
F,W,430E584B72,Cp,438
F,7+,430E69327C,Cp,439
F,8+,430E69327C,Cp,440
F,5,430E69327C,Cp,441
M,A,430E69327C,Cp,442
M,W,430E6C5430,Cp,443
M,W,430E6C5730,Cp,444
F,8+,430E6F734D,Cp,445
F,10+,430E6F734D,Cp,446
M,,430E71096B,Cp,447
M,W,430E71096B,Cp,448
M,A,430E71096B,Cp,449
F,W,430E752D7E,Cp,450
F,8+,430E752D7E,Cp,451
F,W,4310375B55,Cp,452
F,W,4310430B44,Cp,453
M,W,4310471B36,Cp,454
M,,43104B757F,Cp,455
M,W,43104B757F,Cp,456
M,A,43104B757F,Cp,457
M,,4310597F06,Css,458
M,worn,4310597F06,Css,459
M,approx 70. yrs.,4310597F06,Css,460
M,5+,43106C1343,Cp,461
M,6+,43106C1343,Cp,462
M,7+,43106C1343,Cp,463
M,4,43106C1343,Cp,464
F,W,43127E321F,Cp,465
F,worn,43127E321F,cpp,466
F,,43127E321F,Cp,467
F,9+,43152C554D,Cp,468
M,worn,431532260E,Cp,469
M,W,431532260E,Cp,470
M,worn,431532260E,cpp,471
M,,431532260E,Cp,472
M,A,431532260E,Cp,473
F,W,43153B7901,Cp,474
F,8+,43153B7901,Cp,475
F,6,43153B7901,Cp,476
F,A,43153B7901,Cp,477
F,3+,43153B7901,Cp,478
F,,43153B7901,Cp,479
F,W,43153F590E,Cp,480
M,5+,43154B4B52,Cp,481
F,,4315501F07,Cp,482
F,W,4315501F07,Cp,483
M,A,4315513A15,Cp,484
F,,4315527A23,Cp,485
F,W,4315527A23,Cp,486
F,-,4315527A23,Cp,487
M,worn,43155C4529,Cp,488
M,W,43155C4529,Cp,489
M,,43155C4529,Cp,490
M,N/A,43155C4529,Cp,491
M,W,43155C7477,Cp,492
F,W,43155E4C2B,Cp,493
F,worn,43155E4C2B,Cp,494
F,2,43155E4C2B,Cp,495
M,W,43155F3A15,Cp,496
M,A,43155F3A15,Cp,497
F,W,43155F3A15,Cp,498
M,W,4315655E3E,Cp,499
F,9+,435F6D3566,Cp,500
F,8+,435F6D3566,Cp,501
F,7+,435F6D3566,Cp,502
F,W,435F713838,Cp,503
F,W,435F713B39,Cp,504
F,9+,435F713B39,Cp,505
F,8+,435F713B39,Cp,506
M,A,435F713B39,Cp,507
F,,435F713B39,Cp,508
M,,435F713B39,Cp,509
M,W,435F7A6572,Cp,510
M,12+,435F7A6572,Cp,511
M,6+,435F7A6572,Cp,512
M,-,435F7A6572,Cp,513
M,J,435F7A6572,Cp,514
M,8+,43600A6041,Cp,515
M,W,43600A6041,Cp,516
M,J,43600A6041,Cp,517
M,,43600A6041,cpp,518
F,5+,46604C296C,Cp,519
F,8,46604C296C,Cp,520
F,6+,46614A5844,cpp,521
F,,46614A5844,Cp,522
M,,46622D2406,Cp,523
F,8+,466428210C,Cp,524
M,,466626772B,Cp,525
M,10+,4668A25245B,Cp,526
M,5,466926772B,Cp,527
M,A,466926772B,Cp,528
M,,466926772B,Cp,529
M,W,466926772B,Cp,530
M,5,4669420A2A,Cp,531
M,,466947432E,Cp,532
F,5+,4669777F74,Cp,533
F,W,4669777F74,Cp,534
F,,4669777F74,Cp,535
M,3+,46697C6251,Cp,536
M,,46697C6251,Cp,537
M,A,46697C6251,Cp,538
M,,46697F6301,Cp,539
M,,466A0D062,Cp,540
M,,466A0D062C,Cp,541
M,W,466A1F4770,Cp,542
M,J,466A1F4770,Cp,543
M,2+,466A1F477D,Cp,544
M,A,466A1F477D,Cp,545
M,,466A1F477D,Cp,546
M,5+,466A1F477D,Cp,547
M,3+,466A243A59,Cp,548
M,worn,466a243a59,Css,549
M,W,466A25245B,Cp,550
M,1+,466A25245B,Cp,551
M,A,466A25245B,Cp,552
M,,466A25245B,Cp,553
M,,466A25245B,Css,554
F,W,466A6B513B,Cp,555
F,W,466A6D554A,Cp,556
F,,466A6D554A,Cp,557
M,5,466C017D09,cpp,558
,,466C017D09,Cp,559
M,3+,466D59216C,Cp,560
M,,4670621C17,Cp,561
M,,4670621C17,Css,562
M,4+,5E+59,Cp,563
M,,46763F2554,Cp,564
F,6+,46766C2B42,Cp,565
F,worn,46766C2B42,cpp,566
F,W,4677017A3B,Cp,567
F,A,4677017A3B,Cp,568
M,,467758270B,Cp,569
M,,467758270D,Cp,570
M,A,467758270D,Cp,571
F,,4677617A3B,Cp,572
M,,46785660000,Cp,573
F,5,4678760D12,Cp,574
F,5+,46791C3111,Cp,575
M,3,46792A7D24,Cp,576
M,worn,46792D4D26,cpp,577
M,,46792D4D26,Cp,578
F,W,46796B4C0F,Css,579
M,W,467D3E4634,Cp,580
M,2+,467D435326,Cp,581
M,W,467D451E4B,Css,582
F,W,467D53005A,Cp,583
M,W,467D53460D,Cp,584
M,2+,467D621C17,Cp,585
M,3+,467D621C17,Cp,586
M,,467D621C17,Cp,587
F,J,467D6A3C43,Cp,588
F,3+,467D6A3C43,cpp,589
F,4/5+,467D6A3C43,cpp,590
M,,47003E295B,Cp,591
F,W,470057096D,Cp,592
F,,470057096D,Cp,593
M,3+,4700682C04,cpp,594
M,,4700682C04,Cp,595
M,4+,47006F1674,Cp,596
?,11,113929764A,Css,597
F,worn,114979480A,Css,598
?,worn,115134483A,Css,599
M,worn,113912235A,Css,600
F,worn,113912235A,Css,601
?,8,114414117A,Css,602
M,worn,113911762A,Css,603
?,worn,115134222A,Css,604
?,worn,115111252A,Css,605
?,10,115134614A,Css,606
F,15,115135566A,Css,607
M,worn,115144510A,Css,608
?,13,115131330A,Css,609
M,8,113976122A,Css,610
F,13,115116160A,Css,611
?,worn,115116160A,Css,612
F,12,115123115A,Css,613
?,9,113874447A,Css,614
F,9,113979115A,Css,615
M,worn,113874090A,Css,616
?,12,113914485A,Css,617
?,,115121540A,Css,618
M,worn,115121540A,Css,619
M,worn,4315335876,Css,620
?,worn,4315335876,Css,621
M,worn,115144590A,Css,622
M,worn,113923173A,Css,623
M,Worn,4700410415,Css,624
M,worn,125776344A,Css,625
F,worn,113979134A,Cp,626
F,worn,113773530A,Cp,627
F,worn,115127185A,Cp,628
F,12+,115111377A,Cp,629
M,worn,113872620A,Cp,630
M,worn,113676090A,Cp,631
M,worn,115139363A,Cp,632
M,8+,435F7E0209,Cp,633
M,worn,435F7C2B08,Cp,634
M,worn,114464091A,Cp,635
M,worn,115132455A,Cp,636
M,worn,430E576A7A,Cp,637
M,9+,430E576A7A,Cp,638
F,worn,114465210A,Cp,639
F,worn,113912590A,Cp,640
F,worn,113917147A,Cp,641
M,9-10,114414633A,Cp,642
M,worn,115113556A,Cp,643
M,worn,113979316A,Cp,644
M,12+,115134124A,Cp,645
M,worn,113919152A,Cp,646
M,worn,115121574A,Cp,647
M,worn,113874792A,Cp,648
M,worn,430E530F35,Cp,649
F,worn,115125394A,Cp,650
F,6,115122255A,Cp,651
F,worn,115116586A,Cp,652
F,6,115113790A,Cp,653
F,7+,115113790A,Cp,654
M,worn,115127612A,Cp,655
M,worn,435F681D3B,Cp,656
M,worn,431061247C,Cp,657
M,worn,431061601F,Cp,658
M,5,115114177A,Cp,659
M,worn,113924334A,Cp,660
M,8+,115127247A,Cp,661
F,worn,115147525A,Cp,662
F,worn,43104A3605,Cp,663
F,worn,43154D7E7D,Cp,664
F,,115132622A,Cp,665
F,worn,115132622A,Cp,666
M,worn,115115767A,Cp,667
M,worn,115119474A,Cp,668
M,,115119474A,Cp,669
F,7+,43152C554D,Cp,670
F,worn,115109194A,Cp,671
F,worn,113674093A,Cp,672
F,worn,115145627A,Cp,673
F,5,115126360A,Cp,674
F,worn,115111270A,Cp,675
F,worn,115125330A,Cp,676
F,6,113918552A,Cp,677
F,worn,115133152A,Cp,678
F,worn,115147333A,Cp,679
F,worn,115147333A,cpp,680
F,worn,114471391A,Cp,681
M,worn,113935273A,Cp,682
M,4,114457124A,Cp,683
M,worn,113775261A,Cp,684
M,worn,113916663A,Cp,685
M,4,115124515A,Cp,686
M,5,115125113A,Cp,687
M,worn,115133444A,Cp,688
M,8,113931133A,Cp,689
M,5,115112725A,Cp,690
M,4,113872453A,Cp,691
M,worn,113934693A,Cp,692
M,worn,114409340A,Cp,693
M,7+,115113615A,Cp,694
M,worn,115123316A,Cp,695
M,worn,114979493A,Cp,696
F,worn,115109321A,Cp,697
F,,115109321A,Cp,698
F,worn,113924367A,Cp,699
F,,113924367A,Cp,700
F,worn,114467527A,Cp,701
F,worn,115122463A,Cp,702
F?,20,115121151A,Css,703
M,10,113973116A,Css,704
M?,worn,113973116A,Css,705
M,worn,115132690A,Css,706
F,worn,115132690A,Css,707
?,worn,115132690A,Css,708
F,10,114409672A,Css,709
?,,114409672A,Css,710
F,worn,114409672A,Css,711
F,,46695C231C,css,712
F,worn,115112790A,Cp,713
F,,115112790A,Cp,714
F,worn,114409095A,Cp,715
F,8,115113735A,Cp,716
F,worn,115116112A,Cp,717
F,8,113775385A,Cp,718
F,worn,113775385A,Cp,719
F,4,115112664A,Cp,720
F,worn,113919646A,Cp,721
F,9+,436000512F,Cp,722
F,worn,43153C3375,Cp,723
M,3,113909520A,Cp,724
M,8+,430E583E4F,Cp,725
M,worn,4310697115,Cp,726
M,7+,43154F3E63,Cp,727
M,worn,435F610C25,Cp,728
M,worn,113975386A,Cp,729
F,worn,113966592A,Cp,730
F,worn,113966592A,Cp,731
M,worn,430E770768,Cp,732
F,worn,431322622A,Cp,733
M,worn,43115E2817,Cp,734
F,worn,113931457A,Cp,735
F,3,115115562A,Cp,736
F,worn,115115562A,Cp,737
M,5+,4315331667,Cp,738
M,worn,4315331667,Cp,739
M,worn,430E3C5B76,Cp,740
M,worn,4315405754,Cp,741
M,worn,4315405754,cpp,742
F,7,115119397A,Cp,743
F,worn,115119397A,Cp,744
F,6,115119514A,Cp,745
F,worn,115119514A,Cp,746
F,worn,430E48335C,Cp,747
?,7,115122570A,Css,748
M,worn,113945494A,Css,749
M,14,114472511A,Css,750
M,17,11511457A?,Css,751
M,worn,115119555A,Css,752
M,20+,115118654A,Css,753
M,worn,115121385A,Css,754
M,worn,115121385A,Css,755
?,10,115148120A,Css,756
F,worn,115148120A,Css,757
F,7,114471165A,Css,758
F,worn,114471165A,Css,759
?,worn,114471165A,Css,760
F,8,115111312A,Css,761
F,worn,115111312A,Css,762
?,16,115123325A,Css,763
F,worn,115123325A,Css,764
F,,431038502C,Cp,765
F,worn,431038502C,Cp,766
M,worn,431048042B,Cp,767
M,6+,431048042B,Cp,768
M,7+,431048042B,Cp,769
M,5+,431048042B,Cp,770
F,worn,113776662A,Cp,771
F,worn,115135750A,Cp,772
F,worn,114411297A,Cp,773
F,,114411297A,cpp,774
F,4,4557360A21,Cp,775
F,5+,4557360A21,Cp,776
F,4-5,4557360A21,Cp,777
F,5+,4557360A21,cpp,778
F,8+,113918535A,Cp,779
M,worn,115127135A,Cp,780
M,worn,435F650778,Cp,781
M,-,435F650778,Cp,782
M,worn,435F791426,Cp,783
M,6-7,115111211A,Cp,784
M,worn,115119121A,Cp,785
M,,115119121A,cpp,786
F,worn,115115134A,Cp,787
M,worn,115137462A,Cp,788
M,worn,43152D1A6B,Cp,789
M,10+,43152D1A6B,Cp,790
M,9+,43152D1A6B,Cp,791
M,7+,43152D1A6B,Cp,792
F,,43155C0D16,Cp,793
F,worn,43155C0D16,Cp,794
F,worn,115116126A,Cp,795
F,,115116126A,Cp,796
F,worn,430E461363,Cp,797
F,6,430E461363,Cp,798
F,worn,430E5F5022,Cp,799
F,10+,430E5F5022,Cp,800
M,6,115125163A,Cp,801
M,worn,115125163A,Cp,802
F,worn,4311151473,Cp,803
F,12+,4311151473,Cp,804
F,13+,4311151473,Cp,805
F,8+,4311151473,Cp,806
F,7+,4311151473,Cp,807
F,worn,4360050227,Cp,808
F,,4360050227,Cp,809
F,worn,4315312053,Cp,810
F,1,4315312053,Cp,811
M,worn,115123394A,Cp,812
M,worn,115123394A,cpp,813
M,worn,115128656A,Cp,814
M,-,115128656A,Cp,815
M,7+,115128656A,Cp,816
F,worn,430E402907,Cp,817
F,worn,430E402907,cpp,818
?,,113976277A,Css,819
F,worn,113919316A,Css,820
F,25+,114471120A,Css,821
F?,,4311225220,Css,822
F,worn,4311225220,Css,823
M?,,4315613020,Css,824
?,,4315613020,Css,825
M,,4315696 E18,Css,826
F?,,4315696 E18,Css,827
F,20+,4315696 E18,Css,828
F,25+,4315696 E18,Css,829
F,5+,4679261F31,cpp,830
M,4+,46703C6D01,cpp,831
F,5+,466B61580A,cpp,832
F,3,46606C647D,cpp,833
F,worn,467A77584F,cpp,834
M,4+,46695F1312,cpp,835
F,worn,467D684545,cpp,836
F,4,4678447D0A,cpp,837
F,3,46796A7737,cpp,838
M,3,466A00535D,cpp,839
M,3,4700477E 08,cpp,840
M,3+,466B7B325E,cpp,841
M,3+,467D561E54,cpp/m,842
M,4,4662362342,cpp/m,843
M,3+,467D4E783B,cpp,844
M,worn,466A284E1C,cpp,845
M,3+,46622E5766,cpp,846
F,worn,45480E7521,cpp,847
M,worn,467650492C,?,848
M,worn,467650492C,cpp,849
M,,4665453301,cpp,850
F,4,4669443577,cpp,851
M,4+,4665260779,cpp,852
M,worn,4676761206,cpp,853
F,4+,4679020712,cpp,854
M,worn,4679042154,cpp,855
M,4+,4676534503,cpp,856
F,worn,4678522362,cpp,857
M,worn,467D6B7B23,cpp,858
F,4+,4676651F66,cpp,859
